date,RELIANCE.BSE,TCS.BSE,HDFCBANK.BSE,INFY.BSE,HINDUNILVR.BSE,ICICIBANK.BSE,BHARTIARTL.BSE,KOTAKBANK.BSE,ITC.BSE,LT.BSE,SBIN.BSE,BAJFINANCE.BSE,ASIANPAINT.BSE,AXISBANK.BSE,MARUTI.BSE,HCLTECH.BSE,ULTRACEMCO.BSE,TITAN.BSE,NESTLEIND.BSE,WIPRO.BSE,ADANIPORTS.BSE,TECHM.BSE,POWERGRID.BSE,NTPC.BSE
2005-02-28,378.9426,172.6126,586.9,34.9556,144.0,380.75,225.1,328.2,1222.0344,1085.7502,714.4,157.75,356.3,241.05,473.15,337.65,372.25,207.05,598.55,44.2432,,,,93.0
2005-03-31,372.0598,179.0938,544.25,35.1962,131.75,393.0,206.8499,340.5,1268.4783,995.1501,656.95,166.55,391.1,242.05,420.8,370.4,354.55,231.7,638.1,42.468,,,,85.7
2005-04-29,359.6226,141.2814,537.2,29.49,137.7,360.2,207.1499,302.75,1356.7407,963.75,584.8,183.1,371.6,230.1,406.35,334.35,333.4,242.45,665.45,39.9686,,,,82.2
2005-05-31,364.7674,166.9,540.05,35.1672,143.15,392.05,224.0498,372.45,1509.9966,1046.6499,670.7,230.65,384.85,239.8,466.25,365.8,324.9,300.45,700.1,45.3032,,,,83.45
2005-06-30,437.4486,168.9876,634.1,36.8384,163.6,421.55,242.85,391.65,1557.0069,1133.9502,681.55,280.0,411.0,247.15,465.1,388.9,352.45,378.9,714.55,48.4454,,,,83.05
2005-07-29,479.0196,158.6438,685.5,35.4564,166.95,536.0,283.0999,425.1,1586.6481,1270.2501,800.8,300.0,458.6,259.9,482.1,403.5,380.75,489.05,773.85,46.5496,,,,93.85
2005-08-31,490.3662,175.7312,640.15,37.129,165.65,481.7001,315.4499,199.55,1634.7912,1332.95,796.65,300.35,480.9,250.0,471.0,453.45,439.05,495.65,853.05,102.5576,,,,102.05
2005-09-30,540.7624,185.1564,687.55,39.3282,181.15,600.35,348.4998,199.35,129.0899,1512.6499,938.6,361.75,500.45,265.5,558.3,456.6,466.3,487.95,855.55,104.5688,,,,106.0
2005-10-31,519.6704,175.0314,606.0,39.436,161.4,497.7,322.6498,172.35,113.5613,1399.3999,838.25,294.8,482.65,238.3,549.7,417.75,398.15,496.1,844.1,102.5718,,,,97.15
2005-11-30,567.613,189.875,687.55,41.9392,181.95,537.15,357.5498,212.1,126.9659,1692.4999,896.25,355.85,525.1,271.4,612.9,509.0,450.0,660.8,962.45,118.7862,,,,104.1
2005-12-30,606.288,212.8062,707.45,46.8242,197.25,584.7,345.6999,223.8,134.0457,1844.2002,907.45,442.3,577.4,286.35,636.5,539.05,427.15,821.65,936.2,130.3454,,,,112.0999
2006-01-31,650.6226,208.7626,762.55,44.9954,194.8,609.15,355.5999,233.65,146.1759,2166.75,886.8,513.8,614.9,337.15,756.85,626.1,518.55,722.15,984.85,149.0344,,,,114.5499
2006-02-28,646.1102,211.8562,736.05,44.197,241.95,615.1001,361.2999,228.8,162.9317,2397.0003,877.2,549.3,668.0,328.35,822.6,609.95,560.5,787.2,1059.3,146.3204,,,,131.0999
2006-03-31,725.8768,239.2688,773.5,46.5758,272.3,589.25,412.8498,278.0,184.0296,2432.5998,968.05,530.249,644.05,356.35,874.35,660.0,684.45,834.95,1155.45,157.0924,,,,133.9999
2006-04-28,918.7302,247.7626,819.75,48.9672,290.65,577.05,405.8498,312.75,189.8823,2695.3,882.35,480.6,635.0,344.4,919.65,575.5,781.5,746.8,1287.6,151.1016,,,,135.7499
2006-05-31,869.001,222.825,740.2,45.4384,233.7,536.05,365.9499,295.95,155.8518,2318.3,831.0,443.25,570.0,285.8,734.85,500.95,605.45,693.55,1075.25,126.5206,,,,112.2499
2006-06-30,965.1772,216.9564,791.15,48.0868,229.1,487.4,369.9998,242.7,172.041,2243.0999,727.4,409.9,597.05,266.75,797.6,502.1,749.95,595.3,996.15,144.4924,,,,111.0499
2006-07-31,892.4756,468.0,795.05,206.7376,232.25,554.05,382.8498,285.5,158.1173,2210.95,810.05,400.0,607.6,297.85,786.5,520.2,722.1,601.25,999.65,138.178,,,,115.2499
2006-08-31,1018.8258,498.025,853.15,226.1,234.6,596.5,410.9999,314.15,180.5369,2401.0503,930.0,390.049,633.3,342.9,861.4,579.8,769.0,783.25,1061.25,145.6592,,,,124.1999
2006-09-29,1067.5518,510.8,926.0,230.9876,256.2,699.0501,468.8498,331.8,177.1386,1273.05,1028.3,390.0,675.5,379.2,981.2,550.15,891.15,806.0,1064.25,147.6844,,617.55,,130.1999
2006-10-31,1117.8278,542.25,1004.05,261.85,233.6,776.8501,530.1498,346.65,179.2154,1312.7999,1095.5,432.35,670.1,433.75,968.55,622.75,880.5,766.15,1054.55,151.3548,,988.85,,129.5499
2006-11-30,1134.966,595.925,1118.4,272.5562,235.85,871.45,630.1998,380.75,174.2594,1369.4002,1314.0,351.15,713.85,474.05,924.95,629.25,898.75,760.1,1093.5,168.4548,,1122.8,,147.1499
2006-12-29,1158.0758,609.3,1069.75,280.0626,216.55,890.4,628.8497,399.4,166.094,1442.9501,1245.9,367.2,733.55,469.05,927.35,648.5,1096.9,859.05,1136.45,170.0296,,1670.15,,136.3999
2007-01-31,1243.9958,639.3,1078.15,280.5562,208.2,940.5,707.4998,465.9,163.97,1587.3999,1138.05,371.1,800.7,534.0,936.6,648.2,993.7,958.85,1092.95,172.378,,1738.35,,141.9499
2007-02-28,1234.8798,594.225,932.6,259.7938,176.15,831.9,718.7497,423.75,162.2237,1487.5,1039.15,404.55,739.0,460.0,839.7,596.1,891.1,828.15,958.35,157.7392,,1434.45,,139.9499
2007-03-30,1247.4144,615.6,949.4,251.575,205.25,853.1,763.1996,479.65,141.9752,1619.15,992.9,422.85,764.8,490.15,819.7,291.15,770.45,841.5,934.5,157.036,,1427.9,,149.7499
2007-04-30,1422.2176,632.85,1026.15,256.1688,199.4,865.9,812.0498,544.05,151.0374,1696.4001,1105.25,422.5,793.2,467.85,803.1,334.1,820.3,993.35,1007.65,160.664,,1588.75,,159.1999
2007-05-31,1604.6326,604.3,1139.75,240.0314,203.5,918.9,847.7998,572.65,154.4358,1998.6499,1352.4,394.0,830.3,579.55,817.65,344.15,827.0,1125.0,1139.25,153.1548,,1492.1,,158.3999
2007-06-29,1550.0264,574.625,1144.1,241.15,188.85,955.3,835.9497,672.5,146.0343,2196.05,1525.3,376.8,810.95,605.0,743.1,344.0,900.05,1339.15,1159.95,145.828,,1395.75,,152.3499
2007-07-31,1725.0574,579.225,1198.65,247.1564,206.35,927.05,903.4496,740.9,161.1381,2606.4999,1624.5,371.85,884.95,626.7,843.15,314.6,932.15,1155.15,1189.35,139.4016,,1325.85,,165.6499
2007-08-31,1786.3184,532.5,1171.3,231.8814,208.6,884.6501,879.8997,706.9,160.9965,2582.7499,1599.5,375.0,943.75,634.1,868.2,303.4,920.5,1242.25,1282.9,135.6328,,1291.9,,173.2999
