date,RELIANCE.BSE,TCS.BSE,HDFCBANK.BSE,INFY.BSE,HINDUNILVR.BSE,ICICIBANK.BSE,BHARTIARTL.BSE,KOTAKBANK.BSE,ITC.BSE,LT.BSE,SBIN.BSE,BAJFINANCE.BSE,ASIANPAINT.BSE,AXISBANK.BSE,MARUTI.BSE,HCLTECH.BSE,ULTRACEMCO.BSE,TITAN.BSE,NESTLEIND.BSE,WIPRO.BSE,ADANIPORTS.BSE,TECHM.BSE,POWERGRID.BSE,NTPC.BSE
2007-09-28,2093.2604,528.375,1439.05,237.0938,219.35,1063.15,941.1996,921.65,179.0738,2812.6,1950.7,363.45,982.95,764.4,999.55,299.8,1042.55,1469.05,1324.2,129.3328,,1330.85,,193.4499
2007-10-31,2536.6268,518.95,1653.1,229.8876,207.6,1257.0,1006.5996,1000.0,169.1147,4244.5499,2068.15,332.4,1032.0,918.8,1073.55,311.05,999.15,1720.7,1562.75,141.9752,,1207.8,,239.3999
2007-11-30,2598.7992,506.975,1719.0,200.5064,207.15,1184.6501,939.4497,1234.3,178.0353,4129.0,2300.3,330.15,990.35,931.25,1012.35,320.25,987.4,1529.5,1320.55,129.4592,,1026.65,147.9,236.6499
2007-12-31,2626.4212,541.675,1727.8,221.05,213.9,1232.4,994.5496,1296.2,198.5198,4171.8501,2371.0,438.85,1102.55,967.1,990.05,331.4,1014.5,1562.3,1499.9,147.8252,1268.6,1132.05,143.8,250.0499
2008-01-31,2260.3602,437.625,1568.0,187.9876,206.5,1145.6501,864.4497,1032.8,184.2657,3680.35,2162.25,403.1,1245.7,1110.8,848.7,249.5,860.6,1157.95,1404.85,116.255,834.8,692.5,103.35,197.8999
2008-02-29,2240.9884,437.15,1453.45,193.3562,227.35,1090.95,825.5997,801.35,190.8264,3523.0499,2109.7,419.45,1111.9,1018.75,867.2,277.6,911.35,1097.6,1372.15,122.2454,734.75,688.1,109.7,201.7499
2008-03-31,2064.3624,405.45,1319.95,178.7688,228.7,770.1,826.0997,628.55,194.7911,3024.8,1598.85,329.85,1199.95,781.15,829.55,253.0,779.85,1062.3,1498.05,119.6158,579.5,706.85,97.95,196.9999
2008-04-30,2383.7482,459.775,1514.85,219.2188,249.5,879.4,898.7997,789.35,207.4877,3003.3499,1776.35,320.55,1276.45,924.3,741.9,286.75,761.05,1244.3,1758.8,137.4188,758.6,914.05,105.3,196.7499
2008-05-30,2189.391,514.625,1357.85,244.6938,237.15,788.3,876.4497,693.65,205.4582,2981.35,1443.35,260.15,1278.75,794.05,764.5,312.9,650.25,1173.65,1767.2,142.8752,786.45,865.0,98.5,172.2499
2008-06-30,1908.2474,429.4,1002.3,216.8438,206.1,630.2,721.6498,461.2,176.525,2183.2001,1111.45,138.35,1148.5,603.65,617.75,250.7,544.85,991.55,1630.1,123.1736,492.05,716.2,77.75,151.6499
2008-07-31,2011.2146,416.275,1095.25,197.9126,239.7,634.85,799.1497,533.1,177.2802,2602.7,1414.75,113.05,1203.0,653.85,574.9,201.0,574.15,1127.05,1632.65,117.0,575.45,756.75,94.75,170.4499
2008-08-29,1947.9026,406.225,1277.25,218.5626,245.4,671.5,837.1997,605.75,178.0353,2589.8499,1403.6,135.65,1223.35,723.3,650.4,233.55,590.3,1271.2,1775.75,121.5846,578.0,746.8,93.1,175.1999
2008-09-30,1774.3306,331.375,1229.0,174.6938,251.55,534.85,785.0496,554.8,177.4689,2442.8499,1465.65,113.8,1182.5,720.5,687.15,194.35,528.25,1114.65,1691.05,95.5264,426.85,615.3,85.75,171.7499
2008-10-31,1249.6022,268.725,1023.65,172.7064,221.95,399.35,648.9997,336.9,145.2791,805.45,1109.5,71.1,956.75,562.6,564.45,172.5,354.65,1008.75,1450.0,76.5424,354.75,327.8,69.35,140.5499
2008-11-28,1031.5884,279.025,920.4,155.075,236.2,351.4,671.0498,334.9,163.7813,726.95,1086.85,73.8,888.35,406.85,535.85,137.3,270.65,932.25,1400.75,68.428,257.4,225.15,74.15,159.5999
2008-12-31,1121.5198,239.05,997.6,139.7312,250.25,448.35,715.0997,357.3,161.8461,774.4,1288.25,64.95,895.1,504.65,520.1,115.2,383.1,927.25,1452.75,65.6862,325.15,247.65,83.2,180.9999
2009-01-30,1208.078,255.975,924.6,163.1876,261.2,416.3,633.8498,283.5,169.634,689.2,1152.2,58.7,785.05,433.0,571.0,116.0,396.4,921.95,1466.45,64.9968,385.85,238.05,88.15,189.4999
2009-02-27,1153.2444,240.3,884.85,153.9126,253.8,328.1,636.6498,259.25,172.7019,611.45,1027.1,57.15,786.25,347.95,677.6,99.9,470.4,752.45,1493.5,58.3174,339.8,248.5,96.5,184.1999
2009-03-31,1388.5786,270.0,967.85,165.5126,238.2,332.6,625.7998,282.95,174.4482,672.6501,1066.55,68.6,786.0,414.5,775.1,101.75,551.0,779.9,1556.4,69.019,323.2,265.15,95.65,180.1999
2009-04-29,1643.3762,,1100.7,,234.55,477.75,749.2997,385.55,178.5074,879.5501,1277.7,92.35,887.05,555.65,815.7,129.85,567.6,748.4,1704.85,,386.0,327.95,92.5,190.1499
2009-04-30,,311.6,,188.4126,,,,,,,,,,,,,,,,92.9534,,,,
2009-05-29,2076.2134,349.875,1442.35,200.25,231.1,740.7001,819.6497,680.15,173.3627,1405.6,1869.1,139.0,1081.05,783.4,1021.55,167.95,721.75,1073.95,1726.35,107.3112,612.55,473.55,114.7,215.4499
2009-06-30,1844.525,389.7,1491.75,222.1126,267.1,722.0,802.0997,632.1,179.7818,1568.2999,1742.05,152.7,1177.45,833.65,1065.45,185.7,689.95,1173.9,2001.6,106.2142,604.25,732.4,109.35,195.0499
2009-07-31,1784.1306,526.4,1499.6,257.9876,291.2,759.0501,410.5499,653.9,236.0432,1506.6001,1814.0,189.75,1408.55,917.7,1413.25,240.45,798.35,1226.75,2205.15,137.9952,601.1,848.3,117.9,215.5999
2009-08-31,1826.9764,527.0,1469.35,266.5376,259.85,749.5001,424.6999,715.45,218.2491,1567.6,1743.05,205.25,1391.4,906.7,1436.65,299.3,760.6,1229.95,2200.0,154.8984,559.4,948.45,107.65,212.6499
2009-09-30,2006.657,619.35,1642.25,288.55,262.85,904.8,418.5498,776.1,218.9099,1683.2001,2195.7,238.5,1405.6,981.55,1698.9,339.6,798.1,1249.1,2269.8,169.2424,522.55,936.85,109.95,213.6999
2009-10-30,1760.5648,626.2,1621.3,275.675,282.95,789.6001,292.1499,713.9,240.8576,1567.15,2191.0,260.4,1644.8,907.9,1403.0,305.45,768.75,1255.4,2573.45,170.9016,500.35,930.0,104.25,211.3999
2009-11-30,968.8692,687.2,1772.55,297.9938,285.25,864.3,299.6999,783.8,243.3591,1614.15,2238.15,288.6,1675.1,997.45,1561.7,336.25,836.5,1331.25,2537.35,176.8784,543.3,928.45,100.35,209.7499
2009-12-31,993.1182,749.75,1700.4,325.6564,264.75,875.7,328.7998,802.1,236.7984,1679.4,2269.45,329.7,1796.25,988.7,1559.65,371.35,915.1,1422.05,2547.95,191.0812,553.05,990.6,110.1,235.6999
2010-01-29,954.0554,735.45,1630.85,309.5876,244.1,830.4,306.4999,779.9,236.232,1425.0499,2058.0,309.4,1853.15,1025.5,1390.1,346.45,929.4,1498.8,2558.9,182.0812,594.55,970.45,112.7,214.2499
2010-02-26,891.5638,761.0,1704.65,325.2,235.75,871.85,279.2499,742.1,219.0515,1566.85,1975.85,300.45,1809.55,1124.85,1463.55,367.45,1038.1,1748.95,2622.0,190.3216,672.9,893.45,107.1,202.9999
2010-03-31,979.6718,780.8,1932.5,326.8876,238.7,952.7,311.8999,749.05,248.4093,1626.35,2079.0,318.5,2042.6,1169.1,1416.15,357.8,1156.3,1840.9,2676.15,198.7876,790.25,853.5,107.15,206.9999
2010-04-30,941.247,766.0,1991.6,342.0188,239.0,950.5,298.3999,737.8,250.2029,1608.35,2297.95,427.85,2074.95,1268.2,1279.75,394.25,972.35,2129.45,2761.35,189.4216,741.8,773.6,109.7,206.9499
2010-05-31,952.688,742.0,1885.4,332.2062,236.75,867.05,262.2999,756.7,267.2891,1628.6,2268.35,456.9,2086.65,1228.4,1236.95,382.55,922.9,2225.1,2879.85,187.9736,694.2,636.35,103.4,201.9999
2010-06-30,990.8392,751.15,1914.65,348.5688,266.9,862.0,263.2499,770.8,287.6792,1804.55,2302.1,474.95,2306.25,1242.95,1423.6,364.9,878.1,2365.55,2892.95,288.5624,737.45,734.8,103.7,199.1499
2010-07-30,920.371,841.1,2127.45,348.6064,251.1,904.45,306.8999,769.25,291.455,1797.1,2503.8,569.4,2605.35,1345.4,1198.15,392.3,864.35,2802.4,3016.0,308.5124,724.45,699.8,100.5,198.5999
2010-08-31,837.6416,843.85,2132.45,338.3876,264.4,977.3001,327.1499,828.55,153.539,1812.4499,2764.85,613.0,2762.45,1324.85,1255.9,383.55,904.3,2932.75,3060.3,299.85,767.2,637.95,108.5,195.7499
2010-09-30,899.176,922.55,2480.8,380.125,308.0,1110.35,365.8999,475.9,168.0763,2044.7,3233.2,771.55,2671.6,1531.2,1440.95,419.75,1066.9,3279.05,3351.95,336.2624,167.05,756.35,106.5,216.8999
2010-10-29,998.9526,1051.8,2278.1,371.2,294.1,1161.65,325.6999,464.85,161.5628,2021.85,3151.2,782.2,2678.25,1466.65,1551.2,404.2,1096.05,3553.45,3488.85,314.7,151.95,728.2,100.25,194.9499
2010-11-30,899.586,1076.7,2289.2,381.1812,298.9,1143.65,360.3999,475.45,161.4212,1949.8499,2994.1,710.3,2642.5,1367.9,1423.75,403.8,1125.9,3698.6501,3632.45,315.15,151.05,640.35,95.0,184.2499
2010-12-31,964.7214,1165.05,2346.5,430.625,312.3,1144.6501,358.3999,452.45,164.7252,1979.05,2811.05,703.75,2874.85,1349.5,1420.6,456.05,1082.15,3601.3001,3795.2,367.6876,143.65,702.4,98.2,200.5999
2011-01-31,838.0062,1157.15,2042.85,389.5376,271.15,1020.0,318.5499,384.5,153.8222,1641.1501,2641.05,590.7,2569.25,1246.75,1252.8,493.8,999.0,3593.0501,3326.1,328.8376,140.1,649.6,96.5,188.8999
2011-02-28,879.6672,1112.95,2049.7,375.3814,282.1,971.0,331.0999,405.35,159.5333,1528.0499,2632.0,610.9,2405.5,1223.9,1206.7,442.15,929.7,3328.6,3541.1,328.8,138.4,644.7,98.6,170.0499
2011-03-31,955.195,1182.5,2342.95,404.5938,284.6,1112.75,357.4999,456.85,171.2859,1653.25,2767.9,698.55,2526.95,1403.65,1263.55,476.5,1133.8,3810.8501,3668.55,358.7252,136.45,675.85,101.8,192.9999
2011-04-29,895.1648,1163.6,2292.5,363.2438,285.2,1114.25,378.7999,430.2,181.1977,1597.9001,2805.6,700.25,2773.75,1286.0,1319.75,520.4,1086.8,4035.0501,4002.65,337.6876,144.35,686.05,104.3,181.9499
2011-05-31,867.6338,1158.8,2388.3,348.9814,304.85,1086.0,374.1498,440.55,182.5193,1644.0001,2297.8,619.95,3139.2,1278.6,1227.5,514.8,1026.2,4391.9501,4054.0,334.9876,160.85,679.05,100.65,168.9499
2011-06-30,818.2698,1180.35,2502.6,363.425,342.75,1093.1,395.2499,480.2,191.1095,1822.65,2405.95,609.8,3180.55,1289.0,1158.45,493.45,933.5,215.0,4097.1,313.2,161.4,721.45,109.3,186.8499
2011-07-29,754.5474,1134.45,487.4,345.85,323.95,1037.75,436.9999,446.85,196.6318,1725.95,2342.0,700.2,3125.8,1338.15,1207.9,487.35,1028.8,228.4,4349.2,292.4624,143.8,774.75,104.9,176.2999
2011-08-30,712.4306,1040.6,472.2,292.85,320.9,873.25,404.1998,441.75,188.7968,1609.8,1974.5,614.7,3287.15,1075.0,1092.35,411.2,1070.4,205.55,4387.75,251.2876,152.15,648.05,100.25,169.5499
2011-09-30,736.862,1037.5,467.25,316.725,340.25,875.35,378.0999,459.65,186.7672,1358.2,1911.1,633.25,3149.4,1021.45,1081.4,408.3,1137.6,208.75,4219.35,255.5248,164.25,573.6,98.3,167.2499
2011-10-31,800.174,1114.2,489.05,359.4,375.25,930.5,391.3999,510.85,201.2102,1413.25,1906.7,684.45,3151.15,1159.7,1125.65,443.55,1152.45,217.2,4250.4,274.8376,163.65,585.0,104.65,179.3499
2011-11-30,709.9692,1113.1,441.45,325.9438,396.1,714.15,385.2999,464.45,189.4576,1268.8,1762.85,630.05,2881.0,947.5,968.65,386.45,1143.9,177.95,4213.9,283.6124,125.7,565.85,98.95,162.0499
2011-12-30,631.6612,1161.25,427.05,345.6314,407.8,684.6,342.8999,432.25,190.0239,995.1,1619.5,600.25,2594.95,806.75,920.05,388.25,1160.45,170.8,4172.7,299.1,120.55,572.8,99.9,160.5999
2012-01-31,743.38,1130.5,490.9,342.9188,379.35,902.0,364.8999,497.7,191.9591,1310.6,2061.05,751.85,2987.25,1074.2,1187.55,436.95,1211.25,202.3,4249.7,309.9376,146.0,651.7,103.95,171.8499
2012-02-29,746.2974,1221.05,517.8,359.425,380.2,906.5,349.2499,547.9,196.1126,1308.1001,2243.4,788.8,3169.9,1178.05,1256.25,484.35,1404.1,228.75,4418.55,323.8124,148.35,600.2,112.85,180.8499
2012-03-30,682.1192,1167.85,520.05,358.1188,409.9,887.25,336.7499,542.45,214.1427,1306.85,2095.0,815.6,3237.75,1145.9,1349.1,482.35,1506.95,228.6,4602.85,329.25,129.05,719.65,107.9,162.6999
2012-04-30,679.3388,1244.9,542.2,307.825,416.35,881.45,310.2998,583.05,231.7952,1226.3,2137.95,874.75,3523.05,1106.6,1369.9,512.0,1423.1,232.95,4671.6,303.8252,127.45,700.2,111.2,162.3999
2012-05-31,643.6034,1245.8,505.95,304.9814,426.7,784.3,302.0999,562.15,217.3523,1172.3,2055.6,846.85,4034.65,971.55,1106.45,504.15,1416.5,222.85,4504.45,307.1624,123.0,670.65,106.35,146.8999
2012-06-29,672.2738,1277.55,563.5,312.8188,454.35,899.6001,304.9998,592.25,244.4446,1397.35,2159.15,911.15,3881.85,1015.8,1169.75,476.2,1511.25,222.3,4535.85,299.4752,121.2,707.95,113.45,159.7499
2012-07-31,677.1966,1240.65,587.85,278.425,466.95,960.75,300.1499,535.55,243.2646,1369.6499,2005.2,1042.4,3637.05,1042.7,1133.05,517.2,1635.95,222.25,4462.0,254.9252,119.95,711.9,118.55,157.0999
2012-08-31,703.7246,1347.3,595.05,296.6564,518.25,909.3,245.7,579.85,252.5629,1341.3999,1845.0,1052.9,3653.35,999.9,1138.55,544.85,1693.4,221.6,4657.1,275.7,112.65,797.95,120.05,168.0999
2012-09-28,762.752,1294.0,628.7,316.75,544.55,1057.25,264.8499,647.9,256.6692,1596.75,2237.9,1175.5,3936.5,1136.75,1349.9,577.3,1967.55,261.55,4374.35,285.9752,127.35,971.8,120.35,167.8499
2012-10-31,734.0816,1313.4,634.55,295.4376,547.45,1050.0501,268.9999,604.1,266.9586,1624.7499,2109.6,1288.3,3868.9,1183.65,1436.25,607.35,1994.75,259.4,4683.1,263.1,126.6,947.7,114.05,165.1999
2012-11-30,723.7346,1312.85,703.65,304.575,538.35,1098.6,337.1499,668.7,281.5432,1667.0999,2170.05,1380.05,4327.55,1316.35,1473.55,654.75,1954.5,311.75,4765.45,294.7124,129.7,883.4,118.0,162.0999
2012-12-31,764.9398,1258.55,678.8,289.8126,524.7,1137.3001,316.7999,649.6,270.7346,1605.8499,2383.75,1357.05,4420.25,1356.5,1488.95,619.25,1982.15,283.85,4990.4,295.7624,135.0,931.4,114.5,156.4499
2013-01-31,808.1962,1342.75,643.4,348.5938,472.95,1190.85,339.3999,677.95,290.1806,1542.9,2436.6,1290.6,4502.05,1505.2,1582.65,688.85,1902.15,279.55,4757.4,308.4,150.0,999.4,110.2,156.5999
2013-02-28,742.6508,1514.75,625.6,363.25,443.9,1040.3,323.5499,657.7,278.5696,1365.8,2085.4,1274.7,4290.45,1343.3,1356.65,724.6,1870.15,260.35,4752.85,312.3752,138.55,1046.7,104.2,150.7499
2013-03-28,705.32,1571.8,624.1,361.2376,466.1,1045.35,291.7998,651.4,291.7854,1364.9,2072.75,1154.35,4914.4,1301.25,1279.7,795.95,1868.0,256.5,4589.45,327.8624,138.75,1059.15,105.95,141.9999
2013-04-30,718.4928,1376.25,682.15,279.3062,583.6,1163.15,318.7499,705.6,310.4763,1512.5999,2264.2,1222.15,4681.75,1493.1,1668.85,721.05,1901.1,270.75,4980.85,260.9248,145.05,954.5,112.2,157.3999
2013-05-31,734.4006,1499.6,700.45,300.95,592.5,1154.3,300.5499,782.6,320.8129,1401.6,2047.7,1470.15,4864.2,1430.65,1606.1,746.8,1889.15,293.5,5315.9001,244.9124,151.85,966.65,113.45,154.3999
2013-06-28,785.6794,1518.4,668.5,311.6564,585.05,1069.75,291.3999,721.25,306.2284,1404.15,1953.6,1376.4,4630.0,1323.05,1538.0,776.1,1875.95,224.3,4867.0,262.35,149.75,1059.1,110.95,143.6999
2013-07-31,794.5674,1815.1,609.7,370.8938,613.45,909.3,344.8998,651.0,322.5121,846.45,1709.85,1145.1,507.1,1034.45,1327.1,937.75,1832.7,263.35,5294.6501,327.9752,125.4,1246.8,100.75,130.5999
2013-08-30,776.2896,2023.15,593.8,387.5376,628.55,804.3,298.5499,659.05,290.6054,722.25,1514.4,1025.5,418.75,835.75,1244.05,1038.25,1471.65,223.85,4901.35,362.9248,125.55,1376.75,97.3,130.7499
2013-09-30,749.6704,1926.7,593.7,376.9312,627.4,884.95,318.2499,677.4,321.2377,788.6,1615.25,1169.25,459.35,1007.3,1357.95,1088.3,1809.55,232.1,5198.5501,355.5376,138.45,1332.15,98.15,148.1999
2013-10-31,831.716,2108.25,679.45,413.5812,609.25,1121.05,364.6499,750.65,315.5266,972.55,1795.5,1350.65,538.4,1222.9,1633.7,1093.25,1966.05,266.3,5592.4501,357.7124,145.65,1550.4,101.15,148.6999
2013-11-29,777.7026,2004.6,661.2,419.1876,594.45,1067.9,327.1999,756.6,302.2164,1043.35,1821.5,1407.45,503.35,1155.3,1677.4,1086.55,1905.3,229.0,5137.3001,353.2124,158.05,1698.1,95.05,147.3499
2013-12-31,815.717,2170.95,665.75,435.6876,570.95,1098.45,330.4498,729.05,303.5852,1069.9,1765.5,1574.25,490.75,1299.65,1763.0,1263.1,1763.35,229.4,5297.2501,419.2876,155.3,1838.05,99.6,136.7999
2014-01-31,757.419,2236.2,628.9,462.4312,570.35,988.5001,315.1499,656.95,306.8892,985.4,1525.6,1525.0,472.25,1119.55,1635.35,1464.7,1707.2,221.55,5044.3001,431.2124,146.55,1790.85,95.5,126.3999
2014-02-28,728.6118,2272.8,667.5,477.525,548.8,1043.7,287.4999,683.2,309.1547,1108.3,1531.7,1568.65,472.95,1265.9,1586.3,1576.0,1839.85,242.2,4849.8,447.5622,167.25,1870.6,94.6,112.5999
2014-03-31,847.3502,2128.25,748.85,409.8564,603.65,1245.45,318.8999,778.0,333.1791,1272.65,1918.3,1790.05,546.5,1460.45,1971.4,1390.5,2188.9,262.45,5008.1501,406.95,187.5,1794.55,105.05,119.9499
2014-04-30,852.6376,2189.4,718.25,397.15,566.9,1244.8,327.6499,803.25,321.6625,1295.55,2078.95,1874.3,505.15,1519.2,1918.0,1403.65,2027.9,254.75,4772.0,391.5,188.3,1832.45,105.75,116.2499
2014-05-30,971.0114,2144.2,794.1,367.6876,600.95,1418.4001,343.9999,867.55,322.3705,1548.9,2541.9,2020.85,509.45,1836.15,2269.5,1417.35,2384.75,310.75,4938.7,378.75,225.85,1915.35,121.75,159.8499
2014-06-30,925.0204,2419.45,821.35,405.8062,619.5,1418.45,336.8999,885.15,306.7004,1701.6,2685.9,2001.05,592.7,1921.4,2438.35,1496.55,2599.45,352.65,4946.0,408.7124,243.5,2152.5,139.15,155.8999
2014-07-31,917.0892,2577.3,833.65,420.7126,685.5,1473.0001,372.5999,953.65,336.247,1504.1,2439.75,2205.5,629.15,391.85,2524.5,1554.9,2421.85,341.05,5125.0501,407.7374,260.7,2150.3,132.75,144.9999
2014-08-28,910.9358,2524.6,842.95,449.25,741.25,1556.55,369.6999,1036.0,335.2559,1526.9,2460.45,2468.8,624.15,397.3,2784.35,1630.35,2546.9,362.95,5998.4501,424.05,282.85,2362.0,129.3,137.6999
2014-09-30,861.7994,2738.2,871.5,468.4562,745.85,1435.25,404.2498,1013.45,349.982,1457.45,2442.35,2711.0,629.4,377.8,3064.35,1715.35,2625.2,407.65,5979.5501,447.2622,277.95,2487.65,135.3,138.6499
2014-10-31,910.8902,2604.55,912.2,506.4312,738.35,1625.45,398.2999,1119.1,335.3503,1654.85,2701.65,2798.5,656.15,438.75,3338.35,1605.25,2551.35,393.2,6237.4501,422.5876,284.55,2511.85,145.3,149.9499
