,Company Name,Symbol
0,3M India Ltd.,3MINDIA.BSE
1,ABB India Ltd.,ABB.BSE
2,ABB Power Products and Systems India Ltd.,POWERINDIA.BSE
3,ACC Ltd.,ACC.BSE
4,AIA Engineering Ltd.,AIAENG.BSE
5,APL Apollo Tubes Ltd.,APLAPOLLO.BSE
6,AU Small Finance Bank Ltd.,AUBANK.BSE
7,Aarti Drugs Ltd.,AARTIDRUGS.BSE
8,Aarti Industries Ltd.,AARTIIND.BSE
9,Aavas Financiers Ltd.,AAVAS.BSE
10,Abbott India Ltd.,ABBOTINDIA.BSE
11,Adani Enterprises Ltd.,ADANIENT.BSE
12,Adani Green Energy Ltd.,ADANIGREEN.BSE
13,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.BSE
14,Adani Total Gas Ltd.,ATGL.BSE
15,Adani Transmission Ltd.,ADANITRANS.BSE
16,Aditya Birla Capital Ltd.,ABCAPITAL.BSE
17,Aditya Birla Fashion and Retail Ltd.,ABFRL.BSE
18,Advanced Enzyme Tech Ltd.,ADVENZYMES.BSE
19,Aegis Logistics Ltd.,AEGISCHEM.BSE
20,Affle (India) Ltd.,AFFLE.BSE
21,Ajanta Pharmaceuticals Ltd.,AJANTPHARM.BSE
22,Akzo Nobel India Ltd.,AKZOINDIA.BSE
23,Alembic Ltd.,ALEMBICLTD.BSE
24,Alembic Pharmaceuticals Ltd.,APLLTD.BSE
25,Alkem Laboratories Ltd.,ALKEM.BSE
26,Alkyl Amines Chemicals Ltd.,ALKYLAMINE.BSE
27,Alok Industries Ltd.,ALOKINDS.BSE
28,Amara Raja Batteries Ltd.,AMARAJABAT.BSE
29,Amber Enterprises India Ltd.,AMBER.BSE
30,Ambuja Cements Ltd.,AMBUJACEM.BSE
31,Angel Broking Ltd.,ANGELBRKG.BSE
32,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.BSE
33,Apollo Tyres Ltd.,APOLLOTYRE.BSE
34,Asahi India Glass Ltd.,ASAHIINDIA.BSE
35,Ashok Leyland Ltd.,ASHOKLEY.BSE
36,Ashoka Buildcon Ltd.,ASHOKA.BSE
37,Asian Paints Ltd.,ASIANPAINT.BSE
38,Aster DM Healthcare Ltd.,ASTERDM.BSE
39,AstraZenca Pharma India Ltd.,ASTRAZEN.BSE
40,Astral Ltd.,ASTRAL.BSE
41,Atul Ltd.,ATUL.BSE
42,Aurobindo Pharma Ltd.,AUROPHARMA.BSE
43,Avanti Feeds Ltd.,AVANTIFEED.BSE
44,Avenue Supermarts Ltd.,DMART.BSE
45,Axis Bank Ltd.,AXISBANK.BSE
46,BASF India Ltd.,BASF.BSE
47,BEML Ltd.,BEML.BSE
48,BSE Ltd.,BSE.BSE
49,Bajaj Auto Ltd.,BAJAJ-AUTO.BSE
50,Bajaj Consumer Care Ltd.,BAJAJCON.BSE
51,Bajaj Electricals Ltd,BAJAJELEC.BSE
52,Bajaj Finance Ltd.,BAJFINANCE.BSE
53,Bajaj Finserv Ltd.,BAJAJFINSV.BSE
54,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.BSE
55,Balaji Amines Ltd.,BALAMINES.BSE
56,Balkrishna Industries Ltd.,BALKRISIND.BSE
57,Balmer Lawrie & Co. Ltd.,BALMLAWRIE.BSE
58,Balrampur Chini Mills Ltd.,BALRAMCHIN.BSE
59,Bandhan Bank Ltd.,BANDHANBNK.BSE
60,Bank of Baroda,BANKBARODA.BSE
61,Bank of India,BANKINDIA.BSE
62,Bank of Maharashtra.,MAHABANK.BSE
63,Bata India Ltd.,BATAINDIA.BSE
64,Bayer Cropscience Ltd.,BAYERCROP.BSE
65,Berger Paints India Ltd.,BERGEPAINT.BSE
66,Bharat Dynamics Ltd.,BDL.BSE
67,Bharat Electronics Ltd.,BEL.BSE
68,Bharat Forge Ltd.,BHARATFORG.BSE
69,Bharat Heavy Electricals Ltd.,BHEL.BSE
70,Bharat Petroleum Corporation Ltd.,BPCL.BSE
71,Bharat Rasayan Ltd.,BHARATRAS.BSE
72,Bharti Airtel Ltd.,BHARTIARTL.BSE
73,Biocon Ltd.,BIOCON.BSE
74,Birla Corporation Ltd.,BIRLACORPN.BSE
75,Birlasoft Ltd.,BSOFT.BSE
76,Bliss GVS Pharma Ltd.,BLISSGVS.BSE
77,Blue Dart Express Ltd.,BLUEDART.BSE
78,Blue Star Ltd.,BLUESTARCO.BSE
79,Bombay Burmah Trading Corporation Ltd.,BBTC.BSE
80,Bosch Ltd.,BOSCHLTD.BSE
81,Brigade Enterprises Ltd.,BRIGADE.BSE
82,Britannia Industries Ltd.,BRITANNIA.BSE
83,Burger King India Ltd.,BURGERKING.BSE
84,CCL Products (I) Ltd.,CCL.BSE
85,CESC Ltd.,CESC.BSE
86,CRISIL Ltd.,CRISIL.BSE
87,CSB Bank Ltd.,CSBBANK.BSE
88,Cadila Healthcare Ltd.,CADILAHC.BSE
89,Can Fin Homes Ltd.,CANFINHOME.BSE
